date,time,air_temp_mean_K,air_p_mean_Pa
6/9/2019,18:00:00,289.85,99524.93157
6/9/2019,18:30:00,289.9526667,99477.82922
6/9/2019,19:00:00,289.4306667,99456.91877
6/9/2019,19:30:00,289.7546667,99455.09323
6/9/2019,20:00:00,288.846,99469.36093
6/9/2019,20:30:00,288.0916667,99478.13161
6/9/2019,21:00:00,287.839,99490.00928
6/9/2019,21:30:00,287.0996667,99514.97575
6/9/2019,22:00:00,286.2006667,99529.94419
6/9/2019,22:30:00,284.5443333,99545.85588
6/9/2019,23:00:00,283.2593333,99553.08849
6/9/2019,23:30:00,282.1816667,99563.84347
6/10/2019,0:00:00,281.3791667,99567.21674
6/10/2019,0:30:00,280.6118667,99089.69357
6/10/2019,1:00:00,279.9438,99031.70682
6/10/2019,1:30:00,279.3830667,99008.76311
6/10/2019,2:00:00,278.9755667,99008.76311
6/10/2019,2:30:00,278.8057667,99029.29144
6/10/2019,3:00:00,278.7133333,99029.29144
6/10/2019,3:30:00,278.9284333,99575.40073
6/10/2019,4:00:00,279.6978,99576.28773
6/10/2019,4:30:00,280.4354333,99011.17799
6/10/2019,5:00:00,280.4878667,99567.91655
6/10/2019,5:30:00,280.7229333,99560.99457
6/10/2019,6:00:00,280.9897667,99557.47825
6/10/2019,6:30:00,282.1743333,99549.22349
6/10/2019,7:00:00,283.7386667,99538.32072
6/10/2019,7:30:00,284.588,99537.86326
6/10/2019,8:00:00,285.6673333,99524.13572
6/10/2019,8:30:00,287.1916667,99508.75663
6/10/2019,9:00:00,287.584,99501.42467
6/10/2019,9:30:00,288.214,99476.73898
6/10/2019,10:00:00,289.1216667,99440.55983
6/10/2019,10:30:00,289.821,99402.79289
6/10/2019,11:00:00,290.5313333,99361.24738
6/10/2019,11:30:00,291.239,99318.42703
6/10/2019,12:00:00,291.7266667,99272.22681
6/10/2019,13:00:00,291.4243333,99220.99936
6/10/2019,13:30:00,291.6716667,99196.14412
6/10/2019,14:00:00,291.5736667,98988.23903
6/10/2019,14:30:00,292.4456667,99125.39797
6/10/2019,15:00:00,292.8753333,99101.36551
6/10/2019,15:30:00,293.238,99048.8324
6/10/2019,16:00:00,290.5626667,99080.02676
6/10/2019,16:30:00,288.315,98915.8351
6/10/2019,17:00:00,288.0366667,99070.10989
6/10/2019,17:30:00,289.0916667,99007.55569
6/10/2019,18:00:00,290.4023333,99005.16809
6/10/2019,18:30:00,290.1753333,98976.30238
6/10/2019,19:00:00,289.3033333,98941.80018
6/10/2019,19:30:00,289.1306667,98919.46613
6/10/2019,20:00:00,289.8393333,98930.61268
6/10/2019,20:30:00,289.3556667,98928.54424
6/10/2019,21:00:00,289.0456667,98923.31237
6/10/2019,21:30:00,288.4773333,98927.23988
6/10/2019,22:00:00,287.557,98934.58502
6/10/2019,22:30:00,286.7013333,98933.65978
6/10/2019,23:00:00,285.6853333,98939.20545
6/10/2019,23:30:00,284.7656667,98955.31438
6/11/2019,0:00:00,284.044,98953.90485
6/11/2019,0:30:00,283.628,98944.12707
6/11/2019,1:00:00,283.6226667,98942.69789
6/11/2019,1:30:00,283.6773333,98937.06783
6/11/2019,2:00:00,283.678,98980.99625
6/11/2019,2:30:00,283.527,98917.95715
6/11/2019,3:00:00,283.2313333,98910.42992
6/11/2019,3:30:00,283.1986667,98904.17747
6/11/2019,4:00:00,283.167,98900.73616
6/11/2019,4:30:00,283.6226667,99024.46086
6/11/2019,5:00:00,284.084,98885.74659
